Name,Skills,Interests,Education_Level,Recommended_Career,Experience,Certifications,Preferred_Industry
User_Da_729,SQL;Statistics;Python,Problem Solving,Bachelors,Data Scientist,2,SQL,Finance
User_Da_730,ML;Python;SQL;Statistics,Problem Solving,PhD,Data Scientist,5,Python Certification;SQL,Healthcare
User_Da_813,SQL;Statistics;Python,Problem Solving,Bachelors,Data Scientist,10,SQL;Power BI,Finance
User_Da_390,SQL;ML;Python;Statistics,Problem Solving,PhD,Data Scientist,3,SQL;Python Certification,Finance
User_Da_600,Python;Data Analysis;ML,Problem Solving,Bachelors,Data Scientist,5,Python Certification;SQL,Finance
User_Da_382,SQL;Python;ML;Data Analysis,Problem Solving,Masters,Data Scientist,6,Python Certification;SQL,Healthcare
User_Da_501,Data Analysis;SQL;Statistics,Problem Solving,Masters,Data Scientist,1,Python Certification;Power BI,Finance
User_Da_662,ML;Python;Data Analysis,Problem Solving,Masters,Data Scientist,5,Power BI,Finance
User_Da_286,Statistics;Python;SQL;Data Analysis;ML,Problem Solving,Masters,Data Scientist,9,Python Certification,Healthcare
User_Da_891,Statistics;Data Analysis;ML,Problem Solving,PhD,Data Scientist,7,SQL,IT
User_Da_542,ML;Statistics;SQL;Python;Data Analysis,Problem Solving,Bachelors,Data Scientist,4,Python Certification;SQL,IT
User_Da_588,ML;Statistics;Data Analysis;SQL,Problem Solving,Bachelors,Data Scientist,7,Python Certification;SQL,Healthcare
User_Da_295,ML;Python;Statistics;SQL,Problem Solving,PhD,Data Scientist,5,Power BI,Healthcare
User_Da_282,ML;Python;Data Analysis;Statistics;SQL,Problem Solving,Masters,Data Scientist,9,Power BI,Finance
User_Da_367,SQL;Python;Statistics;Data Analysis,Problem Solving,Bachelors,Data Scientist,2,Power BI,Finance
User_Da_962,ML;Statistics;Data Analysis;Python;SQL,Problem Solving,Bachelors,Data Scientist,9,Power BI;Python Certification,Healthcare
User_Da_820,SQL;ML;Data Analysis;Python,Problem Solving,Masters,Data Scientist,1,Python Certification;Power BI,IT
User_Da_348,Data Analysis;ML;Statistics;SQL,Problem Solving,PhD,Data Scientist,4,Power BI;SQL,Finance
User_Da_320,SQL;ML;Python;Data Analysis;Statistics,Problem Solving,Masters,Data Scientist,0,Power BI;Python Certification,IT
User_Da_375,Statistics;ML;Data Analysis;SQL,Problem Solving,Masters,Data Scientist,1,Python Certification,IT
User_Da_814,Python;Statistics;ML;SQL;Data Analysis,Problem Solving,PhD,Data Scientist,8,Power BI,Finance
User_Da_463,SQL;ML;Statistics,Problem Solving,PhD,Data Scientist,2,Power BI,Finance
User_Da_323,Python;Statistics;ML;SQL,Problem Solving,Bachelors,Data Scientist,7,Power BI;SQL,Finance
User_Da_499,ML;SQL;Python,Problem Solving,PhD,Data Scientist,1,Python Certification,Healthcare
User_Da_151,Data Analysis;Python;Statistics,Problem Solving,PhD,Data Scientist,8,SQL,Finance
User_Da_630,SQL;Data Analysis;ML;Python,Problem Solving,PhD,Data Scientist,10,SQL,Healthcare
User_Da_980,ML;Python;SQL,Problem Solving,Bachelors,Data Scientist,9,Power BI,Finance
User_Da_791,Data Analysis;ML;Python,Problem Solving,Bachelors,Data Scientist,0,Python Certification,Finance
User_Da_753,Python;SQL;Data Analysis;Statistics;ML,Problem Solving,PhD,Data Scientist,2,SQL,IT
User_Da_149,Python;Data Analysis;ML;SQL,Problem Solving,Masters,Data Scientist,10,SQL;Power BI,Finance
User_Di_632,SEO;Creativity;Communication;Social Media,Marketing,Masters,Digital Marketer,6,SEO,Marketing
User_Di_979,Creativity;Social Media;Analytics;Communication,Marketing,Masters,Digital Marketer,10,Digital Marketing,Media
User_Di_391,SEO;Analytics;Creativity;Communication;Social Media,Marketing,PhD,Digital Marketer,4,Digital Marketing,Media
User_Di_204,SEO;Analytics;Communication,Marketing,Bachelors,Digital Marketer,9,Google Ads;Digital Marketing,Media
User_Di_783,SEO;Creativity;Analytics,Marketing,Bachelors,Digital Marketer,1,Google Ads;Digital Marketing,Retail
User_Di_131,Social Media;SEO;Communication;Creativity,Marketing,Masters,Digital Marketer,6,Digital Marketing,Media
User_Di_968,SEO;Creativity;Social Media;Communication;Analytics,Marketing,PhD,Digital Marketer,4,SEO,Media
User_Di_114,Creativity;SEO;Analytics,Marketing,Bachelors,Digital Marketer,6,Google Ads,Retail
User_Di_918,Analytics;Creativity;Communication;SEO;Social Media,Marketing,PhD,Digital Marketer,1,Digital Marketing,Retail
User_Di_175,Social Media;SEO;Analytics;Communication;Creativity,Marketing,PhD,Digital Marketer,3,Digital Marketing,Marketing
User_Di_717,Social Media;Communication;Analytics;Creativity;SEO,Marketing,PhD,Digital Marketer,9,SEO,Retail
User_Di_945,Analytics;Communication;SEO;Creativity;Social Media,Marketing,Masters,Digital Marketer,4,Google Ads;Digital Marketing,Media
User_Di_559,Creativity;Social Media;Analytics;SEO,Marketing,Masters,Digital Marketer,1,Google Ads,Retail
User_Di_520,SEO;Communication;Creativity;Social Media;Analytics,Marketing,Masters,Digital Marketer,2,Digital Marketing,Retail
User_Di_573,SEO;Creativity;Social Media;Communication,Marketing,Bachelors,Digital Marketer,8,SEO,Retail
User_Di_684,Analytics;Communication;Social Media,Marketing,Masters,Digital Marketer,3,SEO,Marketing
User_Di_627,SEO;Social Media;Analytics,Marketing,Bachelors,Digital Marketer,8,Google Ads;SEO,Retail
User_Di_779,Communication;Social Media;Analytics;SEO,Marketing,Bachelors,Digital Marketer,9,Digital Marketing;SEO,Marketing
